상호명,지점명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번본번지,지번부번지,지번주소,건물본번지,건물부번지,건물명,도로명주소,신우편번호,경도,위도
왕애지,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,동서학동,대성동,282,8,전북특별자치도 전주시 완산구 대성동 282-8,5218,21,,전북특별자치도 전주시 완산구 춘향로 5218-21,55115,127.1764456,35.80033719
홍산김밥,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동3가,1686,1,전북특별자치도 전주시 완산구 효자동3가 1686-1,36,,,전북특별자치도 전주시 완산구 마전들로 36,54964,127.0995162,35.82084807
제이에이치푸드,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,덕진동,덕진동1가,1312,70,전북특별자치도 전주시 덕진구 덕진동1가 1312-70,20,,,전북특별자치도 전주시 덕진구 명륜5길 20,54898,127.126167,35.8443549
챙길밥김치백서,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자4동,효자동3가,1159,12,전북특별자치도 전주시 완산구 효자동3가 1159-12,7,,,전북특별자치도 전주시 완산구 백마산길 7,55068,127.0924416,35.81782548
하늘소갈비전주,신시가지점,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동3가,1529,7,전북특별자치도 전주시 완산구 효자동3가 1529-7,59,9,,전북특별자치도 전주시 완산구 홍산북로 59-9,54969,127.1081657,35.81785742
고순이감자탕아중점,,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 덕진구,우아2동,우아동1가,1089,1,전북특별자치도 전주시 덕진구 우아동1가 1089-1,208,,,전북특별자치도 전주시 덕진구 아중로 208,55028,127.1720465,35.82785003
황금코다리,송천점,한식,해산물 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 덕진구,송천1동,송천동2가,38,2,전북특별자치도 전주시 덕진구 송천동2가 38-2,962,,,전북특별자치도 전주시 덕진구 동부대로 962,55151,127.1418083,35.86944641
다원,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중앙동,태평동,8,42,전북특별자치도 전주시 완산구 태평동 8-42,49,,,전북특별자치도 전주시 완산구 노송여울1길 49,54996,127.1424616,35.82617635
이연케이크,,기타 간이,빵/도넛,제과점업,전북특별자치도,전주시 덕진구,송천2동,전미동1가,593,16,전북특별자치도 전주시 덕진구 전미동1가 593-16,202,,,전북특별자치도 전주시 덕진구 백석로 202,54815,127.1286072,35.88164619
가족밥상,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,인후3동,인후동1가,873,3,전북특별자치도 전주시 덕진구 인후동1가 873-3,51,,,전북특별자치도 전주시 덕진구 가재미로 51,55020,127.1619237,35.82954945
월평상회,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,덕진동,덕진동1가,1314,183,전북특별자치도 전주시 덕진구 덕진동1가 1314-183,18,5,,전북특별자치도 전주시 덕진구 명륜3길 18-5,54898,127.1284332,35.84246888
남도명가김치찌개,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자2동,효자동1가,560,5,전북특별자치도 전주시 완산구 효자동1가 560-5,18,,,전북특별자치도 전주시 완산구 성지산1길 18,55082,127.1223299,35.80363095
샤브마니아전주,인후점,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,인후3동,인후동1가,401,1,전북특별자치도 전주시 덕진구 인후동1가 401-1,223,,,전북특별자치도 전주시 덕진구 건산로 223,55013,127.1615683,35.83438067
중산집,중화산점,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산2동,중화산동2가,770,2,전북특별자치도 전주시 완산구 중화산동2가 770-2,292,,,전북특별자치도 전주시 완산구 효자로 292,54975,127.1174181,35.8188942
해달뒷고기,,한식,돼지고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자2동,효자동1가,621,9,전북특별자치도 전주시 완산구 효자동1가 621-9,200,,,전북특별자치도 전주시 완산구 거마평로 200,55051,127.1152256,35.81023521
전설의포차,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산1동,중화산동2가,658,9,전북특별자치도 전주시 완산구 중화산동2가 658-9,11,4,,전북특별자치도 전주시 완산구 한두평4길 11-4,54985,127.1246395,35.81602093
대감집,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,삼천3동,중인동,882,2,전북특별자치도 전주시 완산구 중인동 882-2,164,,,전북특별자치도 전주시 완산구 중인1길 164,55144,127.0920815,35.76472324
통집,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,627,5,전북특별자치도 전주시 덕진구 금암동 627-5,35,,,전북특별자치도 전주시 덕진구 삼송1길 35,54899,127.1347877,35.84303872
경성닭곰탕,,한식,국/탕/찌개류,한식 일반 음식점업,전북특별자치도,전주시 덕진구,혁신동,장동,1111,,전북특별자치도 전주시 덕진구 장동 1111,77,,대방디엠시티,전북특별자치도 전주시 덕진구 기지로 77,54865,127.0592937,35.8388097
진양반갈비송천,에코점,한식,돼지고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 덕진구,송천1동,송천동2가,41,23,전북특별자치도 전주시 덕진구 송천동2가 41-23,976,,,전북특별자치도 전주시 덕진구 동부대로 976,55151,127.1408011,35.86968192
한솥도시락전북대,후문점,한식,백반/한정식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,금암1동,금암동,1543,8,전북특별자치도 전주시 덕진구 금암동 1543-8,42,,해누리,전북특별자치도 전주시 덕진구 삼송3길 42,54899,127.1370807,35.84400948
사계절분식,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 덕진구,우아1동,우아동3가,753,2,전북특별자치도 전주시 덕진구 우아동3가 753-2,666,,,전북특별자치도 전주시 덕진구 동부대로 666,54817,127.1618946,35.84789908
전주쪽갈비,,한식,돼지고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 덕진구,송천1동,송천동2가,484,8,전북특별자치도 전주시 덕진구 송천동2가 484-8,8,5,,전북특별자치도 전주시 덕진구 붓내4길 8-5,54828,127.1227489,35.86733143
은화수식당전주,신시가지점,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동2가,1155,4,전북특별자치도 전주시 완산구 효자동2가 1155-4,54,,일부,전북특별자치도 전주시 완산구 홍산남로 54,54969,127.1078417,35.81556851
태원슈퍼,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,덕진동,덕진동1가,1314,158,전북특별자치도 전주시 덕진구 덕진동1가 1314-158,16,,,전북특별자치도 전주시 덕진구 명륜5길 16,54898,127.125923,35.84403972
새참국수,,한식,국수/칼국수,한식 일반 음식점업,전북특별자치도,전주시 완산구,중앙동,고사동,257,5,전북특별자치도 전주시 완산구 고사동 257-5,100,,,전북특별자치도 전주시 완산구 전주객사4길 100,54999,127.1428858,35.82203906
전주무인라면짱,,기타 간이,김밥/만두/분식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중앙동,중앙동2가,17,3,전북특별자치도 전주시 완산구 중앙동2가 17-3,13,6,,전북특별자치도 전주시 완산구 전라감영4길 13-6,55038,127.1442929,35.8168281
삼별집,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,삼천3동,삼천동1가,421,1,전북특별자치도 전주시 완산구 삼천동1가 421-1,28,,,전북특별자치도 전주시 완산구 삼천천변2길 28,55086,127.1132365,35.79642975
계륵,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 덕진구,송천1동,송천동2가,484,7,전북특별자치도 전주시 덕진구 송천동2가 484-7,9,4,,전북특별자치도 전주시 덕진구 붓내3길 9-4,54828,127.1225381,35.86710633
제줏간송천,에코시티점,한식,돼지고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 덕진구,송천1동,송천동2가,486,,전북특별자치도 전주시 덕진구 송천동2가 486,226,,,전북특별자치도 전주시 덕진구 송천중앙로 226,54828,127.1219626,35.86722408
담소뒷고기,,한식,돼지고기 구이/찜,한식 일반 음식점업,전북특별자치도,전주시 완산구,효자5동,효자동3가,1529,4,전북특별자치도 전주시 완산구 효자동3가 1529-4,45,16,,전북특별자치도 전주시 완산구 홍산북로 45-16,54969,127.1075239,35.817858
우황제,,한식,백반/한정식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산2동,중화산동2가,755,10,전북특별자치도 전주시 완산구 중화산동2가 755-10,293,,,전북특별자치도 전주시 완산구 효자로 293,54974,127.117651,35.81929954
윤콩쥐팥쥐로,,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,전북특별자치도,전주시 완산구,효자3동,효자동1가,663,2,전북특별자치도 전주시 완산구 효자동1가 663-2,30,,,전북특별자치도 전주시 완산구 효자천변1길 30,55085,127.1142708,35.80025914
신포우리만두전주예수,병원점,기타 간이,김밥/만두/분식,한식 일반 음식점업,전북특별자치도,전주시 완산구,중화산1동,중화산동1가,300,,전북특별자치도 전주시 완산구 중화산동1가 300,365,,예수병원,전북특별자치도 전주시 완산구 서원로 365,54987,127.1326147,35.81432703
